Courses By Organization,,,Students Enrolled by Certificate Type,,,Enrollment Dmand Vs Rating,
,,,,,,,
Row Labels,Count of Course Title,,Row Labels,Sum of Students Enrolled,,Row Labels,Count of Reviews(Num)
École des Ponts ParisTech,1,,Course,86236814,,High,324
École Polytechnique,2,,Guided Project,1703347,,Medium,170
École Polytechnique Fédérale de Lausanne,2,,Professional Certificate,13622208,,No students Enrolled,41
Advancing Women in Tech,1,,Specialization,36159635,,Very High,465
"Akamai Technologies, Inc.",2,,Grand Total,137722004,,Grand Total,1000
Amazon Web Services,6,,,,,,
American Museum of Natural History,1,,,,,,
American Psychological Association,1,,Rating by Difficulty,,,,
Aptly,1,,,,,,
Arizona State University,6,,Row Labels,Average of Rating,,,
Arm,1,,Advanced,4.49,,,
Atlassian,1,,Beginner,4.66,,,
Autodesk,4,,Intermediate,4.63,,,
Berklee,9,,Mixed,4.69,,,
Board Infinity,2,,Grand Total,4.65,,,
California Institute of the Arts,5,,,,,,
Case Western Reserve University,1,,,,,,
Cisco Learning and Certifications,2,,Top 10 Courses,,,,
Codio,1,,,,,,
Columbia University,6,,Row Labels,Sum of Students Enrolled,,,
Commonwealth Education Trust,1,,Entrepreneurship 1: Developing the Opportunity,2248113,,,
CompTIA,2,,Financial Reporting,1713399,,,
Copenhagen Business School,4,,Fractal Data Science,2182786,,,
Coursera Project Network,9,,Google Data Analytics,2077472,,,
CVS Health,2,,Google IT Support,2010235,,,
Dartmouth College,3,,Learning How to Learn: Powerful mental tools to help you master tough subjects,3641053,,,
Databricks,1,,Programming for Everybody (Getting Started with Python),2977587,,,
Deep Teaching Solutions,2,,Python for Everybody,1560414,,,
DeepLearning.AI,43,,Technical Support Fundamentals,1619616,,,
Digital Marketing Institute,2,,The Science of Well-Being,4594817,,,
Duke University,25,,Grand Total,24625492,,,
EC-Council,1,,,,,,
EDHEC Business School,2,,,,,,
Eindhoven University of Technology,1,,,,,,
Emory University,4,,,,,,
Erasmus University Rotterdam,4,,,,,,
ESSEC Business School,7,,,,,,
Fractal Analytics,1,,,,,,
Fundação Instituto de Administração,1,,,,,,
Georgia Institute of Technology,9,,,,,,
Goodwill Industries International,1,,,,,,
Google,96,,,,,,
Google - Spectrum Sharing,1,,,,,,
Google Cloud,35,,,,,,
Hebrew University of Jerusalem,1,,,,,,
HEC Paris,3,,,,,,
HRCI,3,,,,,,
HubSpot Academy,1,,,,,,
IBM,78,,,,,,
Icahn School of Medicine at Mount Sinai,1,,,,,,
IE Business School,4,,,,,,
IESE Business School,4,,,,,,
IIMA - IIM Ahmedabad,2,,,,,,
Imperial College London,8,,,,,,
Indian School of Business,1,,,,,,
Infosec,1,,,,,,
INSEAD,2,,,,,,
Institute for the Future,1,,,,,,
Interactive Brokers,1,,,,,,
Intuit,3,,,,,,
ISAE-SUPAERO,1,,,,,,
ISC2,3,,,,,,
Johns Hopkins University,26,,,,,,
Knowledge Accelerators,2,,,,,,
LearnQuest,8,,,,,,
Ludwig-Maximilians-Universität München (LMU),1,,,,,,
Lund University,4,,,,,,
Macquarie University,7,,,,,,
MathWorks,2,,,,,,
Measure What Matters,1,,,,,,
MedCerts,4,,,,,,
Meta,20,,,,,,
Michigan State University,5,,,,,,
Microsoft,17,,,,,,
Multiple educators,3,,,,,,
Nanjing University,1,,,,,,
"Nanyang Technological University, Singapore",1,,,,,,
National Taiwan University,3,,,,,,
New York Institute of Finance,1,,,,,,
New York University,2,,,,,,
Northwestern University,4,,,,,,
Novartis,1,,,,,,
NVIDIA,1,,,,,,
"Parsons School of Design, The New School",4,,,,,,
Peking University,2,,,,,,
Politecnico di Milano,1,,,,,,
Pontificia Universidad Católica de Chile,1,,,,,,
PwC,2,,,,,,
PwC India,1,,,,,,
Queen Mary University of London,1,,,,,,
Red Hat,2,,,,,,
Rice University,11,,,,,,
Rutgers the State University of New Jersey,5,,,,,,
Salesforce,3,,,,,,
SAP,2,,,,,,
SAS,4,,,,,,
Sciences Po,1,,,,,,
Siemens,1,,,,,,
